Run_Number Number_of_Events Sampled_Luminosity Prescale Livetime
15126054 13393 0.494117307525347 1.00000000 0.80370859337494
15126058 91031 3.04257652304154 1.00000000 0.801308064047604
15126059 62335 2.11916762138391 1.00000000 0.727422309873619
15126060 58377 2.00274785267282 1.00000000 0.814502176582208
15126061 104444 3.65538039524546 1.00000000 0.787594070007692
15127001 93567 3.32364092605734 1.00000000 0.767464750609021
15127002 90039 3.24097365314006 1.00000000 0.802586775533489
15127003 70239 2.53828271097235 1.00000000 0.845655803673317
15127004 46473 1.69059638943793 1.00000000 0.754089050431622
15127005 47614 1.74462420617869 1.00000000 0.755705805796273
15127006 48805 1.78814153528701 1.00000000 0.740041547256213
15127007 48274 1.77332559358941 1.00000000 0.71073747441881
15127008 9655 0.35258207858201 1.00000000 0.47593220338983
15127009 50862 1.85815581239517 1.00000000 0.721835883171071
15127010 50240 1.83849095556849 1.00000000 0.710839452721536
15127011 48365 1.76661564184046 1.00000000 0.719942243855967
15127012 22716 0.82728479577501 1.00000000 0.785450019017323
15127013 38810 1.41855257082955 1.00000000 0.774778187618383
15127096 67439 2.21236389870547 1.00000000 0.798302516631549
15128015 115285 3.79921607383361 1.00000000 0.80241666202905
15128016 112857 3.79734745132997 1.00000000 0.830626108588293
15128017 86577 2.99324156808228 1.00000000 0.787215857428623
15128018 143931 5.01022967494801 1.00000000 0.838807622821843
15128019 106862 3.77886844060573 1.00000000 0.856664154815539
15128020 61408 2.20416435303773 1.00000000 0.870393468647239
15128021 22222 0.798721431525159 1.00000000 0.846455643164591
15128022 2909 0.103548648645006 1.00000000 0.529969028967025
15128023 2005 0.0712298519943898 1.00000000 0.357524964336662
15128024 62853 2.28079294084131 1.00000000 0.815192861404373
15128025 41954 1.52028670909261 1.00000000 0.699163416991634
15128026 65764 2.38840432065796 1.00000000 0.749199694687795
15128027 28974 1.052299012181 1.00000000 0.746637117971448
15128028 66788 2.40483160758959 1.00000000 0.7757387102769
15128029 67896 2.44636550469817 1.00000000 0.801123290580642
15128030 14062 0.509517356623499 1.00000000 0.806399816492717
15128031 19594 0.707315245830904 1.00000000 0.802046663937781
15128032 63751 2.29021810169996 1.00000000 0.816401797948495
15128033 30553 1.09327015933249 1.00000000 0.835333679634743
15128048 128068 4.22725129595707 1.00000000 0.826722095627869
15128049 109875 3.71328421048131 1.00000000 0.742357193527683
15128050 98486 3.39768323212379 1.00000000 0.763898799367108
15128051 98950 3.47094309749092 1.00000000 0.768611795043068
15128052 93007 3.31857733212637 1.00000000 0.824537451573152
15129001 81810 2.92935686538133 1.00000000 0.842169195610549
15129002 41495 1.50835441709001 1.00000000 0.694435612082671
15129003 24537 0.895029275127896 1.00000000 0.547933275272995
15129004 40595 1.47748885852469 1.00000000 0.638496987999182
15129006 47456 1.72153277042336 1.00000000 0.699718384618787
15129007 47180 1.6997390878394 1.00000000 0.743921667560153
15129008 17444 0.635712519290768 1.00000000 0.679290305199554
15129009 46317 1.67961172474543 1.00000000 0.791662393600656
15129010 45912 1.65858900546019 1.00000000 0.765867654172714
15129011 36988 1.33910751499885 1.00000000 0.832088544947359
15129012 57638 2.05648474951229 1.00000000 0.812031558185404
15129013 61729 2.19080596420614 1.00000000 0.806456248530296
15129014 16326 0.585653675860156 1.00000000 0.81846894269815
15129015 52815 1.88427477123494 1.00000000 0.842841868407194
15129016 51688 1.86198002093027 1.00000000 0.84208468418566
15129017 22758 0.821399057232357 1.00000000 0.8561110484144
15129018 41011 1.50354782080903 1.00000000 0.871813949533386
15129022 13380 0.48366478111856 1.00000000 0.861502800849913
15129045 119870 3.98208305627521 1.00000000 0.753501206879212
15129046 114491 3.87508999814549 1.00000000 0.736677862281074
15129047 145668 5.06756381328755 1.00000000 0.726816417359372
15129048 148603 5.27216280295189 1.00000000 0.812146815464154
15129049 93827 3.36926660996061 1.00000000 0.78782840877604
15129050 62810 2.2558057395975 1.00000000 0.786964529587912
15129051 44804 1.64219175195547 1.00000000 0.761726652952277
15129052 45017 1.65429503984572 1.00000000 0.74393406339296
15130001 47992 1.76567308665444 1.00000000 0.733306848394096
15130002 46841 1.72308660920615 1.00000000 0.686526257163376
15130003 48516 1.78465000517975 1.00000000 0.683035337181473
15130004 46486 1.69592660964062 1.00000000 0.677915184040133
15130005 47375 1.72559425616333 1.00000000 0.704356229556943
15130006 13494 0.489474863343868 1.00000000 0.721527109400064
15130007 45910 1.67731597607003 1.00000000 0.748536676829765
15130008 44682 1.62777536091301 1.00000000 0.75112209390287
15130009 42489 1.55365133224091 1.00000000 0.789791631814718
15130011 27324 1.01103134209242 1.00000000 0.789482808436868
15130013 125682 4.22481044409721 1.00000000 0.764282717228043
15130014 69803 2.38435653373618 1.00000000 0.739791214032113
15130015 135753 4.7797338211617 1.00000000 0.792131028929526
15130016 53592 1.91825258646831 1.00000000 0.753801144914694
15130031 171627 5.90255646759688 1.00000000 0.804104197901049
15130032 15109 0.534543881969302 1.00000000 0.744359050152724
15130033 143820 5.15578381291065 1.00000000 0.746069210937216
15130034 130668 4.78650408742419 1.00000000 0.749437931588245
15130035 73990 2.71219901862744 1.00000000 0.775985569107823
15130036 24519 0.885698699599727 1.00000000 0.867622080679405
15130037 52223 1.95927576330951 1.00000000 0.702743799873508
